problem,problem_id,dsl,full_dsl,step,correct,output,id,task_id_mc_larc,description_output,ChatGPT Response1,ChatGPT Response2,ChatGPT Response3,ChatGPT Response4
137,890034e9.json,"['vertical_line', 'vertical_line', 'horizontal_line', 'horizontal_line', 'complete']","['vertical_line(self.temp_state, [(10, 12), (2, 12)], 3)', 'vertical_line(self.temp_state, [(10, 15), (2, 15)], 3)', 'horizontal_line(self.temp_state, [(9, 12), (9, 15)], 3)', 'horizontal_line(self.temp_state, [(3, 12), (3, 15)], 3)', 'complete(self.temp_state)']",5,TRUE,"[[0, 2, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 2, 0, 1, 1, 1, 0, 1, 2], [1, 1, 1, 0, 2, 1, 2, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 2, 1, 1], [1, 1, 1, 0, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 1], [2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 3, 3, 3, 3, 0, 1, 1, 1, 1], [0, 2, 1, 0, 1, 1, 2, 2, 1, 1, 0, 1, 3, 0, 0, 3, 0, 1, 1, 1, 2], [1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 3, 0, 0, 3, 1, 0, 0, 2, 0], [0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 3, 0, 0, 3, 1, 0, 1, 1, 1], [1, 1, 1, 2, 2, 1, 0, 1, 2, 2, 1, 1, 3, 0, 0, 3, 0, 1, 1, 1, 2], [1, 0, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 3, 0, 0, 3, 1, 1, 0, 1, 0], [0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 3, 3, 3, 3, 0, 1, 1, 0, 1], [0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1], [0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0], [0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 1, 1, 1, 1, 1], [1, 3, 3, 3, 3, 1, 2, 0, 2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1], [2, 3, 0, 0, 3, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0], [1, 3, 0, 0, 3, 1, 1, 2, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 1, 1], [1, 3, 0, 0, 3, 1, 2, 0, 0, 0, 1, 2, 1, 1, 1, 2, 1, 0, 1, 0, 1], [1, 3, 0, 0, 3, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1], [0, 3, 0, 0, 3, 1, 0, 2, 0, 1, 1, 1, 1, 0, 1, 1, 0, 2, 1, 1, 1], [1, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0], [1, 1, 1, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]]",8.90E+14,207,"To make the output, you have to...copy the input grid. Next, find another area in the large grid with the same number and same shape of black grid as in the rectangle. However, it will only be black grid without the shape and the black grid might also be surrounded by black squares or have additional black squares around it. After you find the black grid, replicate the first shape with the black grid you find as the center. There should be two identical rectangles in the output grid.","To make the output, you have to...copy the input grid. Next, find another area in the large grid with a different number and different shape of black grid as in the rectangle. However, it will only be black grid without the shape and the black grid might also be surrounded by black squares or have additional black squares around it. After you find the black grid, replicate the first shape with the black grid you find as the center. There should be two identical rectangles in the output grid.","To make the output, you have to...copy the input grid. Next, find another area in the large grid with the same number and same shape of black grid as in the rectangle. However, it will only be black grid without the shape and the black grid might also be surrounded by white squares or have additional white squares around it. After you find the black grid, replicate the second shape with the black grid you find as the center. There should be two identical rectangles in the output grid.","To make the output, you have to...copy the input grid. Next, find another area in the small grid with the same number and same shape of black grid as in the rectangle. However, it will only be black grid without the shape and the black grid might also be surrounded by black squares or have additional black squares around it. After you find the black grid, replicate the first shape with the black grid you find as the center. There should be one identical rectangles in the output grid.","To make the output, you have to...copy the input grid. Next, find another area in the large grid with the same number and same shape of white grid as in the rectangle. However, it will only be black grid without the shape and the black grid might also be surrounded by black squares or have additional black squares around it. After you find the black grid, replicate the first shape with the black grid you find as the center. There should be two identical rectangles in the output grid."
138,8d510a79.json,"['vertical_line', 'vertical_line', 'vertical_line', 'vertical_line', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'complete']","['vertical_line(self.temp_state, [(8, 0), (4, 0)], 2)', 'vertical_line(self.temp_state, [(4, 1), (1, 1)], 2)', 'vertical_line(self.temp_state, [(1, 8), (4, 8)], 2)', 'vertical_line(self.temp_state, [(7, 5), (4, 5)], 2)', 'pixel_color([(0, 3)], 1)', 'pixel_color([(0, 6)], 1)', 'pixel_color([(1, 6)], 1)', 'pixel_color([(8, 2)], 1)', 'pixel_color([(9, 2)], 1)', 'complete(self.temp_state)']",10,TRUE,"[[0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 2, 0, 1, 0, 0, 1, 0, 2, 0], [0, 2, 0, 0, 0, 0, 1, 0, 2, 0], [0, 2, 0, 0, 0, 0, 0, 0, 2, 0], [5, 5, 5, 5, 5, 5, 5, 5, 5, 5], [2, 0, 0, 0, 0, 2, 0, 0, 0, 0], [2, 0, 0, 0, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 1, 0]]",8d510a79,120,"To make the output, you have to...copy the shape with the light blue dot but replace the light blue dot with the shape color.","To make the output, you have to...copy the shape with the yellow dot but replace the yellow dot with the shape color.","To make the output, you have to...copy the shape with the light blue dot but avoid replacing the light blue dot with the shape color.","To make the output, you have to...avoid copying the shape with the light blue dot but replace the light blue dot with the shape color.","To make the output, you have to...copy the shape without the light blue dot but replace the light blue dot with the shape color."
138,8d510a79.json,"['vertical_line', 'vertical_line', 'vertical_line', 'vertical_line', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'complete']","['vertical_line(self.temp_state, [(8, 0), (4, 0)], 2)', 'vertical_line(self.temp_state, [(4, 1), (1, 1)], 2)', 'vertical_line(self.temp_state, [(1, 8), (4, 8)], 2)', 'vertical_line(self.temp_state, [(7, 5), (4, 5)], 2)', 'pixel_color([(0, 3)], 1)', 'pixel_color([(0, 6)], 1)', 'pixel_color([(1, 6)], 1)', 'pixel_color([(8, 2)], 1)', 'pixel_color([(9, 2)], 1)', 'complete(self.temp_state)']",10,TRUE,"[[0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 2, 0, 1, 0, 0, 1, 0, 2, 0], [0, 2, 0, 0, 0, 0, 1, 0, 2, 0], [0, 2, 0, 0, 0, 0, 0, 0, 2, 0], [5, 5, 5, 5, 5, 5, 5, 5, 5, 5], [2, 0, 0, 0, 0, 2, 0, 0, 0, 0], [2, 0, 0, 0, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 1, 0]]",8d510a79,211,"To make the output, you have to...complete a line with the colors. If it's red, fill the line in until you hit the gray bar. If it's blue, fill in until you hit the bottom or top edge.","To make the output, you have to...skip a line with the colors. If it's red, fill the line in until you hit the gray bar. If it's blue, fill in until you hit the bottom or top edge.","To make the output, you have to...complete a line with the colors. If it's green, fill the line in until you hit the brown bar. If it's yellow, fill in until you hit the bottom or top edge.","To make the output, you have to...complete a line with the colors. If it's red, ignore the line until you hit the gray bar. If it's blue, ignore until you hit the bottom or top edge.","To make the output, you have to...keep a track of colors. If it's black, fill the line in until you hit the gray bar. If it's light blue, fill in until you hit the bottom or top edge."
142,90f3ed37.json,"['horizontal_line', 'horizontal_line', 'pixel_color', 'pixel_color', 'complete']","['horizontal_line(self.temp_state, [(8, 4), (8, 9)], 1)', 'horizontal_line(self.temp_state, [(10, 4), (10, 9)], 1)', 'pixel_color([(8, 9)], 1)', 'pixel_color([(10, 9)], 1)', 'complete(self.temp_state)']",5,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 8, 8, 8, 8, 8, 8, 8, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 8, 8, 1, 1, 1, 1, 1], [8, 8, 8, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 8, 8, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",90f3ed37,218,"To make the output, you have to...finish the line so that it is the same as the top line but finish the line in blue.","To make the output, you have to...finish the line so that it is the same as the top line but finish the line in green.","To make the output, you have to...begin the line so that it is the same as the bottom line but start the line in blue.","To make the output, you have to...finish the line so that it is different from the top line but finish the line in blue.","To make the output, you have to...finish the line so that it is the same as the bottom line but finish the line in red."
145,928ad970.json,"['horizontal_line', 'horizontal_line', 'vertical_line', 'vertical_line', 'complete']","['horizontal_line(self.temp_state, [(2, 2), (2, 12)], 8)', 'horizontal_line(self.temp_state, [(12, 12), (12, 2)], 8)', 'vertical_line(self.temp_state, [(12, 11), (2, 11)], 8)', 'vertical_line(self.temp_state, [(2, 3), (12, 3)], 8)', 'complete(self.temp_state)']",5,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 8, 0, 8, 8, 8, 8, 0, 0, 8, 0, 0, 0], [0, 0, 5, 8, 0, 8, 0, 0, 8, 0, 0, 8, 0, 0, 0], [0, 0, 0, 8, 0, 8, 8, 8, 8, 0, 0, 8, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 5, 0, 0], [0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 0, 0], [0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",928ad970,223,"To make the output, you have to...copy the input grid. Then, using the color of the colored rectangle, make the largest rectangle possible that will fit inside the four grey dots. The outside of the new rectangle should touch the inside of all four grey dots.","To make the output, you have to...copy the input grid. Then, using the color of the colored polygon, make the largest rectangle possible that will fit inside the four light blue dots. The outside of the new rectangle should touch the inside of all four light blue dots.","To make the output, you have to...clone the input grid. Then, using the color of the colored square, make the largest possible rectangle that will fit inside the four brown dots. The outside of the new square should be outside all four brown dots.","To make the output, you have to...replicate the input grid. Then, using the color of the colored ellipse, make the smallest rectangle possible that will fit inside the four pink dots. The outside of the new ellipse should touch the inside of all four pink dots.","To make the output, you have to...immitate the input grid. Then, using the color of the colored circle, make the largest square possible that will fit inside the four black dots. The outside of the new circle should contact the inside of all four black dots."
146,93b581b8.json,"['vertical_line', 'vertical_line', 'pixel_color', 'pixel_color', 'vertical_line', 'vertical_line', 'pixel_color', 'pixel_color', 'complete']","['vertical_line(self.temp_state, [(3, 1), (0, 1)], 5)', 'vertical_line(self.temp_state, [(3, 0), (0, 0)], 5)', 'pixel_color([(5, 4)], 3)', 'pixel_color([(5, 5)], 3)', 'vertical_line(self.temp_state, [(3, 4), (0, 4)], 2)', 'vertical_line(self.temp_state, [(3, 5), (0, 5)], 2)', 'pixel_color([(5, 1)], 1)', 'pixel_color([(5, 0)], 1)', 'complete(self.temp_state)']",9,TRUE,"[[0, 0, 0, 0, 0, 0], [5, 5, 0, 0, 2, 2], [5, 5, 0, 0, 2, 2], [0, 0, 3, 1, 0, 0], [0, 0, 2, 5, 0, 0], [1, 1, 0, 0, 3, 3]]",93b581b8,224,"To make the output, you have to...copy the input grid. Then, you will add 4 2x2 blocks to the grid, each touching the corner of the 2x2 colored square in the input. The color of each 2x2 block should be the same color as the opposite corner of the 2x2 colored square. If the 2x2 colored square is not in the center of the input, some of the 2x2 blocks you are adding may be off the page.","To make the output, you have to...copy the input grid. Then, you will remove 4 2x2 blocks from the grid, each touching the corner of the 2x2 colored square in the input. The color of each 2x2 block should be the same color as the adjacent corner of the 2x2 colored square. If the 2x2 colored square is not in the center of the input, some of the 2x2 blocks you are removing may be off the page.","To make the output, you have to...alter the input grid. Then, you will add 3 3x3 blocks to the grid, each touching the corner of the 3x3 colored square in the input. The color of each 3x3 block should be the same color as the adjacent corner of the 3x3 colored square. If the 3x3 colored square is not in the center of the input, some of the 3x3 blocks you are adding may be outside off the page.","To make the output, you have to...duplicate the input grid. Then, you will add 5 1x1 blocks to the grid, each touching the corner of the 1x1 colored square in the input. The color of each 1x1 block should be the same color as the neighboring corner of the 1x1 colored square. If the 1x1 colored square is not in the center of the input, some of the 1x1 blocks you are adding may be out of reach.","To make the output, you have to...change the input grid. Then, you will remove 2 4x4 blocks from the grid, each touching the corner of the 4x4 colored square in the input. The color of each 4x4 block should be the different color from the same corner of the 4x4 colored square. If the 4x4 colored square is not in the center of the input, all of the 4x4 blocks you are removing will be missing."
147,941d9a10.json,"['horizontal_line', 'pixel_color', 'pixel_color', 'complete']","['horizontal_line(self.temp_state, [(5, 3), (5, 6)], 2)', 'pixel_color([(9, 9)], 3)', 'pixel_color([(0, 0)], 1)', 'complete(self.temp_state)']",4,TRUE,"[[1, 5, 0, 5, 0, 0, 5, 0, 5, 0], [5, 5, 5, 5, 5, 5, 5, 5, 5, 5], [0, 5, 0, 5, 0, 0, 5, 0, 5, 0], [0, 5, 0, 5, 0, 0, 5, 0, 5, 0], [5, 5, 5, 5, 5, 5, 5, 5, 5, 5], [0, 5, 0, 5, 2, 2, 5, 0, 5, 0], [5, 5, 5, 5, 5, 5, 5, 5, 5, 5], [0, 5, 0, 5, 0, 0, 5, 0, 5, 0], [5, 5, 5, 5, 5, 5, 5, 5, 5, 5], [0, 5, 0, 5, 0, 0, 5, 0, 5, 3]]",941d9a10,225,"To make the output, you have to...fill the left-upper black area with blue; the middle with red; and the green in the right-down.","To make the output, you have to...fill the right-upper black area with blue; the middle with red; and the green in the right-down.","To make the output, you have to...fill the left-upper black area with green; the middle with yellow; and the blue in the right-down.","To make the output, you have to...fill the left-upper black area with red; the middle with blue; and the pink in the right-down.","To make the output, you have to...fill the left-upper black area with yellow; the middle with green; and the red in the right-down."
148,952a094c.json,"['pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'horizontal_line', 'horizontal_line', 'complete']","['pixel_color([(2, 1)], 2)', 'pixel_color([(8, 1)], 4)', 'pixel_color([(2, 8)], 8)', 'pixel_color([(8, 8)], 6)', 'horizontal_line(self.temp_state, [(4, 2), (4, 7)], 0)', 'horizontal_line(self.temp_state, [(6, 2), (6, 7)], 0)', 'complete(self.temp_state)']",7,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 8, 0], [0, 0, 3, 3, 3, 3, 3, 3, 0, 0], [0, 0, 3, 0, 0, 0, 0, 3, 0, 0], [0, 0, 3, 0, 0, 0, 0, 3, 0, 0], [0, 0, 3, 0, 0, 0, 0, 3, 0, 0], [0, 0, 3, 3, 3, 3, 3, 3, 0, 0], [0, 4, 0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",952a094c,227,"To make the output, you have to...copy the input grid to the output workspace. Move each of the interior corner colored pixels to the exterior corner opposite of their input position. Meaning, move the upper left interior pixel such that its corner is touching the lower left corner of the lower left corner pixel of the monochromatic rectangle or square. You're moving pixel at a 45 degree angle to the exterior opposite corner, do that with each interior corner square to create the correct output grid.","To make the output, you have to...copy the input grid to the output workspace. Move each of the exterior corner colored pixels to the interior corner opposite of their input position. Meaning, move the upper left exterior pixel such that its corner is touching the lower left corner of the lower left corner pixel of the monochromatic rectangle or square. You're moving pixel at a 45 degree angle to the interior opposite corner, do that with each exterior corner square to create the correct output grid.","To make the output, you have to...copy the output grid to the input workspace. Move each of the interior corner colored pixels to the exterior corner opposite of their output position. Meaning, move the lower right interior pixel such that its corner is touching the upper right corner of the upper right corner pixel of the monochromatic rectangle or square. You're moving pixel at a 45 degree angle to the exterior opposite corner, do that with each interior corner square to create the correct input grid.","To make the output, you have to...delete the input grid for the output workspace. Reorder each of the interior corner colored pixels to the exterior corner similar to their input position. Meaning, place the lower right interior pixel such that its corner is touching the upper left corner of the upper left corner pixel of the monochromatic rectangle or square. You're placing pixel at a 45-degree angle to the exterior similar corner, do that with each interior corner square to create the incorrect output grid.","To make the output, you have to...copy the input grid to the output workspace. Move each of the exterior corner colored pixels to the interior corner identical to their input position. Meaning, move the lower left exterior pixel such that its corner is touching the lower right corner of the lower right corner pixel of the monochromatic rectangle or square. You're moving pixel at a 45 degree angle to the interior identical corner, do that with each exterior corner square to create the incorrect output grid."
149,9565186b.json,"['obj_color', 'pixel_color', 'pixel_color', 'complete']","['obj_color(self.temp_state, object2, 5)', 'pixel_color([(2, 0)], 5)', 'pixel_color([(0, 0)], 5)', 'complete(self.temp_state)']",4,TRUE,"[[5, 3, 5], [3, 3, 5], [5, 3, 5]]",9565186b,228,"To make the output, you have to...keep the color with the most squares and everything else should be gray.","To make the output, you have to...keep the color with the least squares and everything else should be green. ","To make the output, you have to...make the color with the most squares gray and everything else should be gray. ","To make the output, you have to...keep the color with the most squares and everything else should be colored randomly. ","To make the output, you have to...color the squares randomly, keeping the most squares as grey."
152,98cf29f8.json,"['move_left', 'move_left', 'move_left', 'move_left', 'move_left', 'obj_color', 'complete']","['move_left(self.temp_state, object2)', 'move_left(self.temp_state, object2)', 'move_left(self.temp_state, object2)', 'move_left(self.temp_state, object2)', 'move_left(self.temp_state, object2)', 'obj_color(self.temp_state, object1, 3)', 'complete(self.temp_state)']",7,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 3, 3, 3, 3, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0], [0, 3, 3, 3, 3, 3, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0], [0, 3, 3, 3, 3, 3, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0], [0, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",98cf29f8,233,"To make the output, you have to...remove the colored squares that create a floor to the other pattern. you bring the patterns together by moving the pattern that is the same color as the line you remove.","To make the output, you have to...replace the colored squares that create a floor to the other pattern. you bring the patterns together by moving the pattern that is the same color as the circle you remove.","To make the output, you have to...construct the colored squares that keep apart the other patterns. You keep apart the patterns by shifting the pattern that is a different color as the line you add.","To make the output, you have to...remove the colored squares that create a roof to the other pattern. You bring the patterns together by moving the pattern that is a different color as the line you remove.","To make the output, you have to...add the colored squares that create a floor to the other pattern. You keep apart the patterns by shifting the pattern that is the same color as the line you add."
153,99fa7670.json,"['horizontal_line', 'horizontal_line', 'horizontal_line', 'vertical_line', 'vertical_line', 'pixel_color', 'pixel_color', 'pixel_color', 'complete']","['horizontal_line(self.temp_state, [(2, 2), (2, 7)], 7)', 'horizontal_line(self.temp_state, [(0, 3), (0, 7)], 8)', 'horizontal_line(self.temp_state, [(4, 5), (4, 7)], 2)', 'vertical_line(self.temp_state, [(3, 7), (6, 7)], 2)', 'vertical_line(self.temp_state, [(4, 7), (1, 7)], 7)', 'pixel_color([(0, 7)], 8)', 'pixel_color([(1, 7)], 8)', 'pixel_color([(6, 7)], 2)', 'complete(self.temp_state)']",9,TRUE,"[[0, 0, 0, 8, 8, 8, 8, 8], [0, 0, 0, 0, 0, 0, 0, 8], [0, 0, 7, 7, 7, 7, 7, 7], [0, 0, 0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 2, 2, 2], [0, 0, 0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 0, 0, 2]]",99fa7670,236,"To make the output, you have to...extend the colored block horizontally until the right edge, then extend the block downward until the block meets the bottom edge or other colored block. ","To make the output, you have to...shorten the colored block horizontally until the left edge, then shorten the block upward until the block meets the top edge or other colored block.","To make the output, you have to...extend the colorless block vertically until the top edge, then extend the block rightward until the block meets the right edge or another colorless block.","To make the output, you have to...extend the colored block vertically until the right edge, then extend the block downward until the block meets the left edge or other colored block.","To make the output, you have to...reduce the colored block horizontally until the left edge, then shrink the block upward until the block meets the bottom edge or other colored block."
155,9dfd6313.json,"['rotate_right', 'flip_horizontal', 'complete']","['rotate_right_state(temp_state)', 'horizontal_flip(temp_state)', 'complete(self.temp_state)']",3,TRUE,"[[5, 0, 3, 0, 2, 2], [0, 5, 3, 0, 0, 0], [0, 0, 5, 0, 8, 6], [0, 0, 0, 5, 8, 0], [0, 0, 0, 0, 5, 0], [0, 0, 0, 0, 0, 5]]",9dfd6313,240,"To make the output, you have to...rotate the pattern 90 degrees to the right and then flip it over to it's reverse. the output should be an 90 degrees mirror image of the input.","To make the output, you have to...rotate the pattern 45 degrees to the right and then flip it over to it's reverse. The output should be a 45 degrees mirror image of the input.","To make the output, you have to...rotate the pattern 90 degrees to the left and then make it stand still. The output should be a standing image of the input.","To make the output, you have to...flip the pattern 90 degrees to the right and then rotate it to it's reverse. The output should be a flipped image of the input.","To make the output, you have to...rotate the pattern 180 degrees to the right and then flip it over to it's reverse. The output should be a 180 degrees mirror image of the input."
157,a1570a43.json,"['move_right', 'complete']","['move_right(self.temp_state, object3)', 'complete(self.temp_state)']",2,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 3, 0], [0, 2, 0, 0, 0, 0, 0, 0], [0, 2, 2, 0, 0, 0, 0, 0], [0, 2, 2, 2, 0, 0, 0, 0], [0, 2, 2, 2, 2, 2, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",a1570a43,244,"To make the output, you have to...think of the 4 pixels as a picture frame. Reposition the random shape to be centered in that frame.","To make the output, you have to... think of the 4 pixels as a picture book. Reposition the different shape to be located at the top in that book.","To make the output, you have to... think of the 4 pixels as a picture wall. Align the unique shape to be presented at the bottom in that wall.","To make the output, you have to... consider the 4 pixels as a picture card. Move the specific shape to be placed at the corner in that card.","To make the output, you have to... imagine the 4 pixels as a photo frame. Shift the random shape to be fixed on the side in that frame."
158,a2fd1cf0.json,"['horizontal_line', 'vertical_line', 'complete']","['horizontal_line(self.temp_state, [(2, 1), (2, 11)], 8)', 'vertical_line(self.temp_state, [(2, 10), (10, 10)], 8)', 'complete(self.temp_state)']",3,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",a2fd1cf0,245,"To make the output, you have to...create a road of light blue squares between the red and green squares. The road should travel up or down from the green square and left or right from the red square until the two meet.","To make the output, you have to...create a road of light blue rectangles between the red and green squares. The road should travel up or down from the green rectangle and left or right from the red rectangle until the two meet.","To make the output, you have to...create a road of black squares between the red and green squares. The road should travel up or down from the black square and left or right from the red square until the two meet.","To make the output, you have to...create a road of light blue squares between the red and yellow squares. The road should travel up or down from the green square and left or right from the yellow square until the two meet.","To make the output, you have to...create a road of light blue squares between the pink and green squares. The road should travel up or down from the green square and left or right from the pink square until the two meet."
159,a3df8b1e.json,"['x_line', 'x_line', 'x_line', 'complete']","['X_line(self.temp_state, [(9, 0)], 1)', 'X_line(self.temp_state, [(5, 4)], 1)', 'X_line(self.temp_state, [(1, 0)], 1)', 'complete(self.temp_state)']",4,TRUE,"[[0, 1, 0, 0, 0], [1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 0]]",a3df8b1e,247,"To make the output, you have to...draw a blue dot one to the right and one up from the original one, follow that pattern until you reach the side, then draw a blue dot one to the left and one up until you reach the other side, repeat until you reach the top.","To make the output, you have to...draw a green dot one to the right and one up from the original one, follow that pattern until you reach the side, then draw a green dot one to the left and one up until you reach the other side, repeat until you reach the top.","To make the output, you have to...draw a blue dot one to the left and one down from the original one, follow that pattern until you reach the side, then draw a blue dot one to the right and one down until you reach the other side, repeat until you reach the bottom.","To make the output, you have to...draw a blue dot one to the right and one up from the original one, follow that pattern until you reach the top, then draw a blue dot one to the left and one down until you reach the side, repeat until you reach the side.","To make the output, you have to...draw a red dot one to the right and one up from the original one, follow that pattern until you reach the side, then draw a red dot one to the left and one up until you reach the other side, repeat until you reach the top."
